school_year,busbreakdown_id,run_type,bus_no,route_number,reason,schools_serviced,occurred_on,created_on,boro,bus_company_name,number_of_students_on_the_bus,has_contractor_notified_schools,has_contractor_notified_parents,have_you_alerted_opt,informed_on,last_updated_on,breakdown_or_running_late,school_age_or_prek,how_long_delayed,incident_number
2015-2016,1227551,Special Ed AM Run,1358,M490,Heavy Traffic,03004,2015-11-05T08:19:00.000,2015-11-05T08:20:00.000,Manhattan,LEESEL TRANSP CORP (B2192,3,Yes,Yes,No,2015-11-05T08:20:00.000,2015-11-05T08:20:09.000,Running Late,School-Age,20,
2015-2016,1227553,Pre-K/EI,899,10,Heavy Traffic,C601,2015-11-05T08:19:00.000,2015-11-05T08:20:00.000,Bronx,"G.V.C., LTD.",13,Yes,Yes,No,2015-11-05T08:20:00.000,2015-11-05T08:20:42.000,Running Late,Pre-K,30 MINS,
2015-2016,1227554,Special Ed AM Run,600,P877,Heavy Traffic,24008,2015-11-05T08:18:00.000,2015-11-05T08:20:00.000,Brooklyn,HAPPY CHILD TRANS LLC (B2,4,Yes,No,No,2015-11-05T08:20:00.000,2015-11-05T08:20:56.000,Running Late,School-Age,30 MIN,
2015-2016,1227555,Special Ed AM Run,GT1482,U901,Heavy Traffic,75661,2015-11-05T08:01:00.000,2015-11-05T08:22:00.000,Rockland County,"DON THOMAS BUSES, INC. (B",1,Yes,Yes,Yes,2015-11-05T08:22:00.000,2015-11-05T08:22:01.000,Running Late,School-Age,15 MIN,
2015-2016,1227556,Special Ed AM Run,855,N588,Heavy Traffic,75911,2015-11-05T08:20:00.000,2015-11-05T08:22:00.000,Nassau County,LOGAN BUS COMPANY INC.,2,Yes,Yes,No,2015-11-05T08:22:00.000,2015-11-05T08:22:53.000,Running Late,School-Age,40 MIIN,
2015-2016,1227557,Special Ed AM Run,EL 1005,W991,Heavy Traffic,75716,2015-11-05T08:22:00.000,2015-11-05T08:24:00.000,Westchester,ALL COUNTY BUS LLC (B2321,3,Yes,No,No,2015-11-05T08:24:00.000,2015-11-05T08:24:53.000,Running Late,School-Age,10 min,
2015-2016,1227558,Special Ed AM Run,2052,L524,Flat Tire,17246,2015-11-05T08:22:00.000,2015-11-05T08:25:00.000,,"RELIANT TRANS, INC. (B232",4,Yes,Yes,Yes,2015-11-05T08:25:00.000,2015-11-05T08:25:11.000,Running Late,School-Age,,
2015-2016,1227560,Special Ed AM Run,1205,P662,Heavy Traffic,29059,2015-11-05T06:45:00.000,2015-11-05T08:26:00.000,,ACME BUS CORP. (B2321),0,Yes,Yes,Yes,2015-11-05T08:26:00.000,2015-11-05T08:26:22.000,Running Late,School-Age,15 min,
2015-2016,1227561,Special Ed AM Run,2508,L531,Heavy Traffic,13009,2015-11-05T08:25:00.000,2015-11-05T08:26:00.000,Bronx,"RELIANT TRANS, INC. (B232",4,No,No,No,2015-11-05T08:26:00.000,2015-11-05T08:26:54.000,Running Late,School-Age,,
2015-2016,1227564,Pre-K/EI,340,8,Heavy Traffic,C353,2015-11-05T08:28:00.000,2015-11-05T08:30:00.000,Bronx,"G.V.C., LTD.",5,Yes,Yes,Yes,2015-11-05T08:30:00.000,2015-11-05T08:30:28.000,Running Late,Pre-K,10MIN,
2015-2016,1227565,Special Ed AM Run,631,P464,Heavy Traffic,28908,2015-11-05T08:20:00.000,2015-11-05T08:30:00.000,Queens,MUTUAL BUS CORP. (B2321),0,Yes,No,No,2015-11-05T08:30:00.000,2015-11-05T08:30:48.000,Running Late,School-Age,20 min,
2015-2016,1224901,Pre-K/EI,811,1,Other,C353,2015-10-26T08:30:00.000,2015-10-26T08:40:00.000,Bronx,"G.V.C., LTD.",5,Yes,Yes,No,2015-10-26T08:40:00.000,2015-10-26T08:40:39.000,Running Late,Pre-K,10MINUTES,
2015-2016,1227077,General Ed AM Run,2675,X2189,Other,10095,2015-11-04T07:04:00.000,2015-11-04T07:11:00.000,Bronx,"GRANDPA`S BUS CO., INC.",0,Yes,Yes,No,2015-11-04T07:11:00.000,2015-11-04T07:11:53.000,Breakdown,School-Age,,
2015-2016,1227394,Pre-K/EI,1015,1B,Heavy Traffic,C814,2015-11-05T07:12:00.000,2015-11-05T07:14:00.000,Bronx,"G.V.C., LTD.",2,Yes,Yes,No,2015-11-05T07:14:00.000,2015-11-05T07:14:52.000,Running Late,Pre-K,30 MINS,
2015-2016,1227566,Special Ed AM Run,2413,M935,Heavy Traffic,03004,2015-11-05T08:30:00.000,2015-11-05T08:31:00.000,Manhattan,"RELIANT TRANS, INC. (B232",0,Yes,Yes,Yes,2015-11-05T08:31:00.000,2015-11-05T08:31:31.000,Running Late,School-Age,,
2015-2016,1227567,General Ed AM Run,27704,M1227,Heavy Traffic,02267,2015-11-05T20:20:00.000,2015-11-05T08:33:00.000,Manhattan,SNT BUS INC,0,Yes,No,No,2015-11-05T08:33:00.000,2015-11-05T08:35:03.000,Running Late,School-Age,10/15 mins,
2015-2016,1227570,Pre-K/EI,30,NYD2,Other,C421,2015-11-05T08:20:00.000,2015-11-05T08:35:00.000,Queens,ALINA SERVICES CORP.,15,Yes,Yes,No,2015-11-05T08:35:00.000,2015-11-05T08:35:21.000,Running Late,Pre-K,15,
2015-2016,1227571,Special Ed AM Run,5,M673,Heavy Traffic,"03494,03417,03802",2015-11-05T08:29:00.000,2015-11-05T08:36:00.000,Manhattan,CAREFUL BUS,5,Yes,No,No,2015-11-05T08:36:00.000,2015-11-05T08:36:13.000,Running Late,School-Age,60 MIN,
2015-2016,1227574,General Ed AM Run,1256,Q2506,Heavy Traffic,25154,2015-11-05T08:15:00.000,2015-11-05T08:36:00.000,Queens,LORISSA BUS SERVICE INC.,10,Yes,No,No,2015-11-05T08:36:00.000,2015-11-05T08:36:57.000,Running Late,School-Age,20 mins,
2015-2016,1227575,Special Ed AM Run,2486,M291,Heavy Traffic,03491,2015-11-05T08:37:00.000,2015-11-05T08:38:00.000,Manhattan,"RELIANT TRANS, INC. (B232",7,No,No,No,2015-11-05T08:38:00.000,2015-11-05T08:38:36.000,Running Late,School-Age,35 MIN,
2015-2016,1227577,Special Ed AM Run,116D,P515,Won`t Start,30300,2015-11-05T08:35:00.000,2015-11-05T08:39:00.000,Queens,LOGAN BUS COMPANY INC.,5,Yes,Yes,No,2015-11-05T08:39:00.000,2015-11-05T08:39:56.000,Breakdown,School-Age,,
2015-2016,1227579,Pre-K/EI,12491,B0108B,Heavy Traffic,C925,2015-11-05T08:35:00.000,2015-11-05T08:40:00.000,Brooklyn,MJT BUS,0,Yes,No,Yes,2015-11-05T08:40:00.000,2015-11-05T08:40:50.000,Running Late,Pre-K,15-20 mins,
2015-2016,1227580,Special Ed AM Run,68,W615,Heavy Traffic,75404,2015-11-05T08:37:00.000,2015-11-05T08:40:00.000,Westchester,MAR-CAN TRANSPORT CO. INC,4,Yes,Yes,No,2015-11-05T08:40:00.000,2015-11-05T08:42:28.000,Running Late,School-Age,15 mins,
2015-2016,1227582,Special Ed AM Run,2560,L741,Heavy Traffic,14646,2015-11-05T08:44:00.000,2015-11-05T08:46:00.000,Bronx,"RELIANT TRANS, INC. (B232",0,Yes,Yes,Yes,2015-11-05T08:46:00.000,2015-11-05T08:46:31.000,Running Late,School-Age,,
2015-2016,1227583,Special Ed AM Run,10496,M089,Heavy Traffic,03710,2015-11-05T08:43:00.000,2015-11-05T08:48:00.000,Manhattan,"BORO TRANSIT, INC.",0,Yes,Yes,No,2015-11-05T08:48:00.000,2015-11-05T08:48:10.000,Running Late,School-Age,25 min,
2015-2016,1227584,Special Ed AM Run,1837,L012,Heavy Traffic,13685,2015-11-05T08:48:00.000,2015-11-05T08:50:00.000,Brooklyn,B & F SKILLED INC.(B2192),2,Yes,Yes,No,2015-11-05T08:50:00.000,2015-11-05T08:50:23.000,Running Late,School-Age,20 mins,
2015-2016,1227586,Pre-K/EI,GV0955,5,Heavy Traffic,C579,2015-11-05T08:40:00.000,2015-11-05T08:59:00.000,Bronx,"G.V.C., LTD.",2,Yes,Yes,No,2015-11-05T08:59:00.000,2015-11-05T08:59:14.000,Running Late,Pre-K,5MIN,
2015-2016,1227587,General Ed Field Trip,966,X2320,Heavy Traffic,07697,2015-11-05T09:11:00.000,2015-11-05T09:13:00.000,Bronx,PIONEER TRANSPORTATION CO,0,Yes,No,No,2015-11-05T09:13:00.000,2015-11-05T09:13:41.000,Running Late,School-Age,15 minutes,
2015-2016,1227588,Special Ed AM Run,5515,Q044,Heavy Traffic,27060,2015-11-05T11:01:00.000,2015-11-05T11:02:00.000,Queens,"RELIANT TRANS, INC. (B232",0,Yes,No,Yes,2015-11-05T11:02:00.000,2015-11-05T11:02:33.000,Running Late,School-Age,10-15,
2015-2016,1227589,Special Ed AM Run,2908,Q124,Heavy Traffic,24013,2015-11-05T11:20:00.000,2015-11-05T11:27:00.000,Queens,ALLIED TRANSIT CORP.,0,Yes,Yes,No,2015-11-05T11:27:00.000,2015-11-05T11:27:15.000,Running Late,School-Age,20-30 min,
2017-2018,1399219,Special Ed AM Run,1108,X339,Flat Tire,12084,2018-01-03T07:32:00.000,2018-01-03T07:34:00.000,Bronx,LORINDA ENT. LTD.,0,Yes,Yes,No,2018-01-03T07:34:00.000,2018-01-03T17:18:54.000,Breakdown,School-Age,,
2015-2016,1225098,Pre-K/EI,9302,1,Heavy Traffic,C814,2015-10-27T07:10:00.000,2015-10-27T07:11:00.000,Bronx,"G.V.C., LTD.",3,Yes,Yes,No,2015-10-27T07:11:00.000,2015-10-27T07:11:22.000,Running Late,Pre-K,25 MINUTES,
2015-2016,1227576,Pre-K/EI,9815,3,Heavy Traffic,C329,2015-11-05T08:37:00.000,2015-11-05T08:39:00.000,Bronx,"G.V.C., LTD.",14,Yes,Yes,Yes,2015-11-05T08:39:00.000,2015-11-05T08:39:37.000,Running Late,Pre-K,15MIN,
2015-2016,1227590,Special Ed PM Run,VN24641,X185,Heavy Traffic,11003,2015-11-05T11:22:00.000,2015-11-05T11:29:00.000,Bronx,VAN TRANS LLC (B2192),0,Yes,Yes,Yes,2015-11-05T11:29:00.000,2015-11-05T11:29:34.000,Running Late,School-Age,20mins,
2015-2016,1227591,General Ed PM Run,2333,K9571,Other,15010,2015-11-05T11:27:00.000,2015-11-05T11:30:00.000,Brooklyn,ALL AMERICAN SCHOOL BUS C,0,No,No,No,2015-11-05T11:30:00.000,2015-11-05T11:30:49.000,Running Late,School-Age,30 MINS,
2015-2016,1227592,Special Ed PM Run,11526,M736,Mechanical Problem,02169,2015-11-05T11:20:00.000,2015-11-05T11:32:00.000,Manhattan,CONSOLIDATED BUS TRANS. I,0,Yes,No,Yes,2015-11-05T11:32:00.000,2015-11-05T11:32:35.000,Running Late,School-Age,25-30 MIN,
2015-2016,1227593,Special Ed PM Run,8928D,Q895,Won`t Start,26179,2015-11-05T23:00:00.000,2015-11-05T11:46:00.000,Queens,LORINDA ENT. LTD.,0,No,No,No,2015-11-05T11:46:00.000,2015-11-05T11:46:38.000,Breakdown,School-Age,,
2015-2016,1227594,Special Ed AM Run,12568,P640,Other,24071,2015-10-19T06:00:00.000,2015-11-05T11:49:00.000,,ACME BUS CORP. (B2321),0,Yes,Yes,Yes,2015-11-05T11:49:00.000,2015-11-05T11:49:17.000,Running Late,School-Age,15mins,
2015-2016,1227595,Special Ed PM Run,511D,Q668,Flat Tire,28328,2015-11-05T11:00:00.000,2015-11-05T11:50:00.000,Queens,LITTLE RICHIE BUS SERVICE,0,Yes,Yes,No,2015-11-05T11:50:00.000,2015-11-05T11:50:00.000,Running Late,School-Age,45,
2015-2016,1227596,Pre-K/EI,GV0418,16,Heavy Traffic,C579,2015-11-05T11:47:00.000,2015-11-05T11:50:00.000,Bronx,"G.V.C., LTD.",1,Yes,Yes,No,2015-11-05T11:50:00.000,2015-11-05T11:50:30.000,Running Late,Pre-K,10MIN,
2015-2016,1227597,Special Ed AM Run,NI2129,K286,Mechanical Problem,32075,2015-11-05T11:30:00.000,2015-11-05T11:53:00.000,Brooklyn,"NEW DAWN TRANSIT, LLC (B2",0,Yes,Yes,No,2015-11-05T11:53:00.000,2015-11-05T11:53:26.000,Breakdown,School-Age,,
2015-2016,1227598,Special Ed PM Run,50072,X519,Mechanical Problem,09028,2015-11-05T11:45:00.000,2015-11-05T12:08:00.000,Bronx,"BORO TRANSIT, INC.",2,Yes,Yes,No,2015-11-05T12:08:00.000,2015-11-05T12:08:17.000,Breakdown,School-Age,,
2015-2016,1227599,Special Ed AM Run,12541,P260,Heavy Traffic,24432,2015-11-05T07:05:00.000,2015-11-05T12:12:00.000,,ACME BUS CORP. (B2321),3,Yes,Yes,Yes,2015-11-05T12:12:00.000,2015-11-05T12:12:47.000,Running Late,School-Age,20Min,
2015-2016,1227600,Special Ed AM Run,1318,P548,Heavy Traffic,24058,2015-11-05T07:05:00.000,2015-11-05T12:14:00.000,,ACME BUS CORP. (B2321),1,Yes,Yes,Yes,2015-11-05T12:14:00.000,2015-11-05T12:14:33.000,Running Late,School-Age,10Min,
2015-2016,1227601,Special Ed PM Run,1436,M744,Heavy Traffic,04671,2015-11-05T12:26:00.000,2015-11-05T12:29:00.000,Manhattan,LEESEL TRANSP CORP (B2192,0,Yes,No,No,2015-11-05T12:29:00.000,2015-11-05T12:29:19.000,Running Late,School-Age,20,
2015-2016,1227602,Special Ed AM Run,4516,M261,Mechanical Problem,02414,2015-11-05T12:34:00.000,2015-11-05T12:42:00.000,Manhattan,"RELIANT TRANS, INC. (B232",1,No,Yes,Yes,2015-11-05T12:42:00.000,2015-11-05T12:42:40.000,Breakdown,School-Age,,
2015-2016,1227604,Special Ed PM Run,2506,K053,Heavy Traffic,13008,2015-11-05T13:49:00.000,2015-11-05T13:50:00.000,Brooklyn,ALLIED TRANSIT CORP.,0,Yes,Yes,No,2015-11-05T13:50:00.000,2015-11-05T13:50:27.000,Running Late,School-Age,20MINS,
2015-2016,1227864,Pre-K/EI,0009,1,Heavy Traffic,C037,2015-11-06T08:10:00.000,2015-11-06T08:10:00.000,Bronx,"G.V.C., LTD.",3,Yes,Yes,No,2015-11-06T08:10:00.000,2015-11-06T08:10:52.000,Running Late,Pre-K,30 MINS,
2015-2016,1227605,Special Ed PM Run,1319,M992,Heavy Traffic,06326,2015-11-05T13:54:00.000,2015-11-05T13:56:00.000,Manhattan,LEESEL TRANSP CORP (B2192,0,Yes,No,No,2015-11-05T13:56:00.000,2015-11-05T13:56:44.000,Running Late,School-Age,30-40,
2015-2016,1227606,Special Ed PM Run,2031,X906,Flat Tire,11111,2015-11-05T13:45:00.000,2015-11-05T14:01:00.000,Bronx,PRIDE TRANSPORTATION (SCH,0,Yes,Yes,Yes,2015-11-05T14:01:00.000,2015-11-05T14:01:20.000,Running Late,School-Age,15 Mins,
2016-2017,1335086,Pre-K/EI,9347,1,Heavy Traffic,C457,2017-03-28T07:52:00.000,2017-03-28T07:57:00.000,Bronx,"G.V.C., LTD.",11,Yes,Yes,No,2017-03-28T07:57:00.000,2017-03-28T07:57:09.000,Running Late,Pre-K,30 minutes,
2017-2018,1386731,Special Ed AM Run,1421,M966,Heavy Traffic,02990,2017-11-16T07:07:00.000,2017-11-16T07:07:00.000,Manhattan,LEESEL TRANSP CORP (B2192),0,Yes,Yes,No,2017-11-16T07:07:00.000,1900-01-01T00:00:00.000,Running Late,School-Age,31-45 Min,
2015-2016,1215800,Pre-K/EI,358,2,Heavy Traffic,C195,2015-09-18T07:36:00.000,2015-09-18T07:38:00.000,Bronx,"G.V.C., LTD.",12,Yes,Yes,Yes,2015-09-18T07:38:00.000,2015-09-18T07:38:44.000,Running Late,Pre-K,15 MINUTES,
2015-2016,1226807,Pre-K/EI,9310,1,Heavy Traffic,C465,2015-11-02T08:07:00.000,2015-11-02T08:10:00.000,Bronx,"G.V.C., LTD.",14,Yes,Yes,Yes,2015-11-02T08:10:00.000,2015-11-02T08:10:07.000,Running Late,Pre-K,20MIN,
2015-2016,1227607,Special Ed PM Run,9962,M025,Mechanical Problem,02169,2015-11-05T14:00:00.000,2015-11-05T14:03:00.000,Manhattan,HAPPY CHILD TRANS LLC (B2,0,Yes,Yes,No,2015-11-05T14:03:00.000,2015-11-05T14:03:19.000,Running Late,School-Age,90Min,
2015-2016,1227608,Special Ed PM Run,610,P870,Other,30230,2015-11-05T14:03:00.000,2015-11-05T14:04:00.000,Queens,HAPPY CHILD TRANS LLC (B2,2,Yes,Yes,No,2015-11-05T14:04:00.000,2015-11-05T14:04:53.000,Running Late,School-Age,60 min,
2015-2016,1227610,Special Ed AM Run,1402,M072,Heavy Traffic,01378,2015-11-05T14:10:00.000,2015-11-05T14:11:00.000,Manhattan,LEESEL TRANSP CORP (B2192,0,Yes,No,No,2015-11-05T14:11:00.000,2015-11-05T14:11:39.000,Running Late,School-Age,10-20mints,
2015-2016,1227611,Special Ed PM Run,2902,K053,Heavy Traffic,13008,2015-11-05T14:09:00.000,2015-11-05T14:13:00.000,Brooklyn,ALLIED TRANSIT CORP.,0,Yes,Yes,No,2015-11-05T14:13:00.000,2015-11-05T14:13:36.000,Running Late,School-Age,30MINS,
2015-2016,1227612,Special Ed PM Run,1492D,N915,Flat Tire,75627,2015-11-05T14:07:00.000,2015-11-05T14:18:00.000,Nassau County,LOGAN BUS COMPANY INC.,0,Yes,No,No,2015-11-05T14:18:00.000,2015-11-05T14:18:25.000,Breakdown,School-Age,,
2015-2016,1227613,Special Ed PM Run,1835,L017,Heavy Traffic,"20685,21911",2015-11-05T14:17:00.000,2015-11-05T14:20:00.000,Brooklyn,B & F SKILLED INC.(B2192),0,Yes,Yes,No,2015-11-05T14:20:00.000,2015-11-05T14:20:24.000,Running Late,School-Age,10mins,
2015-2016,1227614,Special Ed PM Run,578D,Q521,Heavy Traffic,28140,2015-11-05T14:22:00.000,2015-11-05T14:23:00.000,Queens,LITTLE RICHIE BUS SERVICE,0,Yes,Yes,No,2015-11-05T14:23:00.000,2015-11-05T14:23:31.000,Running Late,School-Age,30MINS,
2015-2016,1227615,Pre-K/EI,9307,6,Mechanical Problem,C195,2015-11-05T14:25:00.000,2015-11-05T14:28:00.000,Bronx,"G.V.C., LTD.",18,Yes,Yes,Yes,2015-11-05T14:28:00.000,2015-11-05T14:28:52.000,Running Late,Pre-K,45MIN,
2015-2016,1227621,Special Ed PM Run,2102,K293,Other,17403,2015-11-05T14:57:00.000,2015-11-05T14:58:00.000,Brooklyn,EMPIRE STATE BUS CORP.,3,Yes,Yes,No,2015-11-05T14:58:00.000,2015-11-05T14:58:17.000,Running Late,School-Age,35MINS,
2015-2016,1227622,General Ed PM Run,1230,Q9516,Mechanical Problem,26710,2015-11-05T02:44:00.000,2015-11-05T14:58:00.000,Queens,LORISSA BUS SERVICE INC.,0,Yes,No,No,2015-11-05T14:58:00.000,2015-11-05T14:58:49.000,Breakdown,School-Age,,
2015-2016,1227623,Special Ed PM Run,TN0386,M186,Heavy Traffic,02699,2015-11-05T14:50:00.000,2015-11-05T15:03:00.000,Manhattan,TWENTY FIRST AV TRANSP (B,0,Yes,Yes,No,2015-11-05T15:03:00.000,2015-11-05T15:03:05.000,Running Late,School-Age,15-20 min,
2015-2016,1227633,Special Ed PM Run,420D,L707,Won`t Start,14761,2015-11-05T16:00:00.000,2015-11-05T16:05:00.000,,LORINDA ENT. LTD.,0,Yes,Yes,No,2015-11-05T16:05:00.000,2015-11-05T16:05:34.000,Breakdown,School-Age,,
2015-2016,1227634,Special Ed AM Run,36266,X416,Mechanical Problem,12084,2015-11-05T16:03:00.000,2015-11-05T16:06:00.000,Bronx,CONSOLIDATED BUS TRANS. I,2,Yes,Yes,No,2015-11-05T16:06:00.000,2015-11-05T16:06:50.000,Running Late,School-Age,30MINS,
2015-2016,1227635,Project Read PM Run,GC0083,X591,Heavy Traffic,11012,2015-11-05T16:25:00.000,2015-11-05T16:27:00.000,Bronx,G.V.C. LTD. (B2192),0,Yes,No,No,2015-11-05T16:27:00.000,2015-11-05T16:27:41.000,Running Late,School-Age,15mins,
2015-2016,1227637,Project Read PM Run,GC0113,X507,Heavy Traffic,07497,2015-11-05T16:51:00.000,2015-11-05T16:54:00.000,Bronx,G.V.C. LTD. (B2192),0,Yes,No,No,2015-11-05T16:54:00.000,2015-11-05T16:54:05.000,Running Late,School-Age,20mins,
2015-2016,1227638,Pre-K/EI,93,7,Other,C353,2015-11-05T17:24:00.000,2015-11-05T17:26:00.000,Bronx,"G.V.C., LTD.",0,Yes,Yes,No,2015-11-05T17:26:00.000,2015-11-05T17:26:51.000,Running Late,Pre-K,10MINUTES,
2015-2016,1227639,Project Read PM Run,2033,X901,Mechanical Problem,11455,2015-11-05T18:35:00.000,2015-11-05T18:45:00.000,Bronx,PRIDE TRANSPORTATION (SCH,0,Yes,Yes,Yes,2015-11-05T18:45:00.000,2015-11-05T18:45:40.000,Running Late,School-Age,1HR,
2017-2018,1391536,Pre-K/EI,9302,1,Heavy Traffic,C814,2017-12-04T07:40:00.000,2017-12-04T07:42:00.000,Bronx,"G.V.C., LTD.",8,No,No,No,2017-12-04T07:42:00.000,1900-01-01T00:00:00.000,Running Late,Pre-K,0-15 Min,
2018-2019,1456627,General Ed AM Run,1141,R1086,Heavy Traffic,31051,2018-09-05T07:28:00.000,2018-09-05T07:29:00.000,Staten Island,PIONEER TRANSPORTATION CORP,0,Yes,No,No,2018-09-05T07:29:00.000,1900-01-01T00:00:00.000,Running Late,School-Age,31-45 Min,
2015-2016,1215511,Pre-K/EI,331,2,Other,C178,2015-09-17T08:08:00.000,2015-09-17T08:12:00.000,Bronx,"G.V.C., LTD.",11,Yes,Yes,Yes,2015-09-17T08:12:00.000,2015-09-17T08:12:08.000,Running Late,Pre-K,10 minutes,
2015-2016,1215828,Pre-K/EI,332,2,Other,S176,2015-09-18T07:39:00.000,2015-09-18T07:45:00.000,Bronx,"G.V.C., LTD.",12,Yes,Yes,No,2015-09-18T07:45:00.000,2015-09-18T07:56:40.000,Running Late,Pre-K,10MINUTES,
2015-2016,1225671,Special Ed AM Run,12568,P640,Heavy Traffic,24071,2015-10-16T07:20:00.000,2015-10-28T09:38:00.000,,ACME BUS CORP. (B2321),3,Yes,Yes,Yes,2015-10-28T09:38:00.000,2015-10-28T09:38:12.000,Running Late,School-Age,15mins,
2015-2016,1226116,Pre-K/EI,9304,4,Heavy Traffic,C353,2015-10-29T08:09:00.000,2015-10-29T08:11:00.000,Bronx,"G.V.C., LTD.",3,Yes,Yes,Yes,2015-10-29T08:11:00.000,2015-10-29T08:11:28.000,Running Late,Pre-K,20MIN,
2015-2016,1227640,Special Ed AM Run,52057,M355,Mechanical Problem,05065,2015-11-06T05:55:00.000,2015-11-06T05:56:00.000,Manhattan,CONSOLIDATED BUS TRANS. I,0,Yes,Yes,No,2015-11-06T05:56:00.000,2015-11-06T08:33:45.000,Running Late,School-Age,25/30 MINS,
2015-2016,1227641,General Ed AM Run,924,R1295,Heavy Traffic,31007,2015-11-06T05:58:00.000,2015-11-06T06:01:00.000,Staten Island,PIONEER TRANSPORTATION CO,0,Yes,No,No,2015-11-06T06:01:00.000,2015-11-06T06:01:49.000,Running Late,School-Age,20MINS,
2015-2016,1227642,Special Ed AM Run,1157,M358,Other,04155,2015-11-06T05:58:00.000,2015-11-06T06:02:00.000,Manhattan,"RELIANT TRANS, INC. (B232",0,Yes,Yes,Yes,2015-11-06T06:02:00.000,2015-11-06T06:02:46.000,Running Late,School-Age,15mins,
2015-2016,1227650,General Ed AM Run,955,R1309,Heavy Traffic,31009,2015-11-06T06:04:00.000,2015-11-06T06:13:00.000,Staten Island,PIONEER TRANSPORTATION CO,0,No,No,No,2015-11-06T06:13:00.000,2015-11-06T06:13:01.000,Running Late,School-Age,15-20MINS,
2015-2016,1227652,General Ed AM Run,112,R1006,Heavy Traffic,31030,2015-11-06T06:05:00.000,2015-11-06T06:15:00.000,Staten Island,PIONEER TRANSPORTATION CO,0,Yes,No,No,2015-11-06T06:15:00.000,2015-11-06T06:15:14.000,Running Late,School-Age,15-20MINS,
2015-2016,1227653,General Ed AM Run,706,R1275,Heavy Traffic,31011,2015-11-06T06:05:00.000,2015-11-06T06:17:00.000,Staten Island,PIONEER TRANSPORTATION CO,0,Yes,No,No,2015-11-06T06:17:00.000,2015-11-06T06:17:47.000,Running Late,School-Age,15-20MINS,
2015-2016,1227656,General Ed AM Run,2706,K1606,Heavy Traffic,16005,2015-11-06T06:21:00.000,2015-11-06T06:23:00.000,Brooklyn,"MV TRANSPORTATION, INC.",0,Yes,No,Yes,2015-11-06T06:23:00.000,2015-11-06T06:23:03.000,Running Late,School-Age,1hr,
